clinic_location,general_location,final_latitude,final_longitude
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
El-Dokki,El-Dokki,30.0388955,31.2125563
El-Dokki,El-Dokki,30.0388955,31.2125563
El-Dokki,El-Dokki,30.0388955,31.2125563
6th of October,6th of October,29.9723458,30.9409205
Yousef Abbas,Yousef Abbas,29.5804817,31.2877833
"El-Maadi , Zahraa El Maadi Road Carefour","El-Maadi , Zahraa El Maadi Road Carefour",,
Nasr City,Nasr City,30.0521177,31.3422045
Nasr City,Nasr City,30.0521177,31.3422045
"Shoubra El-Kheima , 15th may","Shoubra El-Kheima , 15th may",,
"Moharam Bek , moharam bek","Moharam Bek , moharam bek",,
"El-Mohandessin , el Sudan Street","El-Mohandessin , el Sudan Street",,
El-Dokki,El-Dokki,30.0388955,31.2125563
"Nasr City , Zaker Hussien Street-District 7","Nasr City , Zaker Hussien Street-District 7",,
El-Dokki,El-Dokki,30.0388955,31.2125563
"Nasr City , Ibrahim Nawar parallel to Ahmed Fakhry - Sixth Region.","Nasr City , Ibrahim Nawar parallel to Ahmed Fakhry - Sixth Region.",,
Shoubra El-Kheima,Shoubra El-Kheima,30.0800186,31.245269
"El-Zagazig , al kwmya street","El-Zagazig , al kwmya street",,
Shoubra,Shoubra,31.0295879,30.458754
"New Cairo , beside new cairo court","New Cairo , beside new cairo court",,
"El-Mansoura , sandob square","El-Mansoura , sandob square",,
"El-Mokattam , Street 9","El-Mokattam , Street 9",,
"El-Sheikh Zayed , Mouez plaza-","El-Sheikh Zayed , Mouez plaza-",,
"Tanta , Elmoderya st","Tanta , Elmoderya st",,
"El-Giza , Morad street","El-Giza , Morad street",,
"Shoubra El-Kheima , 15 May, St.","Shoubra El-Kheima , 15 May, St.",,
"El-Zaitoun , Seliem El Awal","El-Zaitoun , Seliem El Awal",,
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
Hadayek El-Ahram,Hadayek El-Ahram,29.9699896,31.0973269
El-Abbasia,El-Abbasia,30.0648589,31.2916881
"El-Mohandessin , ahmed orabi","El-Mohandessin , ahmed orabi",,
El-Mokattam,El-Mokattam,30.0221089,31.2683682
"El-Maadi , 77 Street Extension - Arab El Maadi","El-Maadi , 77 Street Extension - Arab El Maadi",,
"Faisal , faisal main street","Faisal , faisal main street",,
New Cairo,New Cairo,30.0277688,31.4756825
"Nasr City , Ahmed qasim branched from abbas elakaad","Nasr City , Ahmed qasim branched from abbas elakaad",,
"Sidy Bishr , 196 Gamal Abdelnasser st, - Beside Baba Sharo.","Sidy Bishr , 196 Gamal Abdelnasser st, - Beside Baba Sharo.",,
"Faisal , Huda Mosque Street","Faisal , Huda Mosque Street",,
"Nasr City , metwally el shaarawy","Nasr City , metwally el shaarawy",,
Miamy,Miamy,-23.4461564,-51.8861956
"Faisal , king Faisal Street","Faisal , king Faisal Street",,
"Faisal , gendia  mall _eltawabek","Faisal , gendia  mall _eltawabek",,
"El-Mansoura , gehan","El-Mansoura , gehan",,
"El-Zagazig , mahmoud hashem street-Kawmya","El-Zagazig , mahmoud hashem street-Kawmya",,
"El-Mansoura , salah salem street","El-Mansoura , salah salem street",,
"El-Dokki , Wezaret El Zeraa Street","El-Dokki , Wezaret El Zeraa Street",,
"Faisal , 106 king fisal above ahli bank front of vodafone maryotya","Faisal , 106 king fisal above ahli bank front of vodafone maryotya",,
Sidy Bishr,Sidy Bishr,,
"New Cairo , 90","New Cairo , 90",,
"Hadayek El-Ahram , Fifth North Street after Menkaure Gate","Hadayek El-Ahram , Fifth North Street after Menkaure Gate",,
"Shoubra , shikolany","Shoubra , shikolany",,
"Assiut city , yousry ragheb extention","Assiut city , yousry ragheb extention",,
"El-Sayeda Zainab , A Elkasr Eleini","El-Sayeda Zainab , A Elkasr Eleini",,
"Sidy Bishr , Alaman st. from sidi Beshr mosque st.","Sidy Bishr , Alaman st. from sidi Beshr mosque st.",,
El-Maadi,El-Maadi,36.6117091,4.6680878
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
El-Zagazig,El-Zagazig,30.5950402,31.5125611
"El-Zagazig , mahmoud hashem street-Kawmya","El-Zagazig , mahmoud hashem street-Kawmya",,
El-Mokattam,El-Mokattam,30.0221089,31.2683682
"Faisal , gendia  mall _eltawabek","Faisal , gendia  mall _eltawabek",,
"El-Dokki , Wezaret El Zeraa Street","El-Dokki , Wezaret El Zeraa Street",,
"El-Zagazig , ,  El Obour Bridge extension","El-Zagazig , ,  El Obour Bridge extension",,
"Shoubra , shoubra street","Shoubra , shoubra street",,
El-Fayoum city,El-Fayoum city,29.3074076,30.8399651
"Hadayek El-Ahram , Fifth North Street after Menkaure Gate","Hadayek El-Ahram , Fifth North Street after Menkaure Gate",,
"New Cairo , 90","New Cairo , 90",,
"Assiut city , yousry ragheb extention","Assiut city , yousry ragheb extention",,
Sidy Bishr,Sidy Bishr,,
"Heliopolis , othman ibn affan","Heliopolis , othman ibn affan",,
"Tanta , saeed with omar abd el3aziz","Tanta , saeed with omar abd el3aziz",,
"Shoubra , shikolany","Shoubra , shikolany",,
El-Mokattam,El-Mokattam,30.0221089,31.2683682
"Faisal , 106 king fisal above ahli bank front of vodafone maryotya","Faisal , 106 king fisal above ahli bank front of vodafone maryotya",,
"El-Sayeda Zainab , A Elkasr Eleini","El-Sayeda Zainab , A Elkasr Eleini",,
"El-Zagazig , next to sednawy hospital","El-Zagazig , next to sednawy hospital",,
"Hadayek El-Ahram , Gardenia Street","Hadayek El-Ahram , Gardenia Street",,
6th of October,6th of October,29.9723458,30.9409205
"New Cairo , El Narges Services Area","New Cairo , El Narges Services Area",,
"Sidy Bishr , Alaman st. from sidi Beshr mosque st.","Sidy Bishr , Alaman st. from sidi Beshr mosque st.",,
El-Mansoura,El-Mansoura,36.786091,9.9000163
"Nasr City ,  Mohamed Almakreif","Nasr City ,  Mohamed Almakreif",,
"Madinaty , Medical Center","Madinaty , Medical Center",,
"Hadayek El-Ahram , elgish street","Hadayek El-Ahram , elgish street",,
"El-Maadi , carrefour road","El-Maadi , carrefour road",,
"Faisal , fisal street","Faisal , fisal street",,
"Sidy Bishr , 41 Albekbashy Elesawy st., in front of the Computer Mall.","Sidy Bishr , 41 Albekbashy Elesawy st., in front of the Computer Mall.",,
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
El-Dokki,El-Dokki,30.0388955,31.2125563
"El-Dokki , Tiba St from Gamaet Dwol","El-Dokki , Tiba St from Gamaet Dwol",,
"Heliopolis , Ahmed el Dardiry, Ard El Golf","Heliopolis , Ahmed el Dardiry, Ard El Golf",,
El-Dokki,El-Dokki,30.0388955,31.2125563
06-Oct,06-Oct,22.5369227,113.9779003
"El-Manyal , Elmanial street","El-Manyal , Elmanial street",,
El-Dokki,El-Dokki,30.0388955,31.2125563
Alharam street,Alharam street,15.2855885,44.2258985
"Tanta , El-Geish St.  with Al-Galaa st. Al-Awkaf tower .","Tanta , El-Geish St.  with Al-Galaa st. Al-Awkaf tower .",,
"Faisal , Faisal First","Faisal , Faisal First",,
"6th of October , in front of wadi degla club","6th of October , in front of wadi degla club",,
"Heliopolis , -behind Miliatry College","Heliopolis , -behind Miliatry College",,
Faisal,Faisal,30.0978834,32.4856496
"El-Mansoura , Marinet Mubarak Madina Monawara st.","El-Mansoura , Marinet Mubarak Madina Monawara st.",,
Helwan,Helwan,29.8500001,31.333333
"El-Haram , Station Mashaal","El-Haram , Station Mashaal",,
"Hadayek El-Ahram , z","Hadayek El-Ahram , z",,
Alharam street,Alharam street,15.2855885,44.2258985
"El-Rehab , Medical Complex 1","El-Rehab , Medical Complex 1",,
"Heliopolis , hassan aflaton","Heliopolis , hassan aflaton",,
90 Street,90 Street,25.3765768,55.4139127
"Faisal , King Faisal","Faisal , King Faisal",,
Naguib mahfouz,Naguib mahfouz,31.9047407,35.1894873
"El-Mansoura , el gomhoria street","El-Mansoura , el gomhoria street",,
Shoubra El-Kheima,Shoubra El-Kheima,30.0800186,31.245269
Menouf,Menouf,30.4626909,30.9388785
"El-Sheikh Zayed , twin tower -","El-Sheikh Zayed , twin tower -",,
"El-Obour City , 9th district","El-Obour City , 9th district",,
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
Mahatet El-Raml,Mahatet El-Raml,31.201541,29.9013501
El-Dokki,El-Dokki,30.0388955,31.2125563
Khamseen Street (Carrefour extension) - Zahraa AlMaadi,Khamseen Street (Carrefour extension) - Zahraa AlMaadi,,
"Ali Amin Street, Al Manteqah Al Oula","Ali Amin Street, Al Manteqah Al Oula",,
El-Dokki,El-Dokki,30.0388955,31.2125563
"El-Dokki , Tahrir Street-infront Of Asad Abn Elfourat mosque","El-Dokki , Tahrir Street-infront Of Asad Abn Elfourat mosque",,
06-Oct,06-Oct,22.5369227,113.9779003
Nasr City,Nasr City,30.0521177,31.3422045
"El-Rehab , Medical Complex 1","El-Rehab , Medical Complex 1",,
"Heliopolis , hassan aflaton","Heliopolis , hassan aflaton",,
90 Street,90 Street,25.3765768,55.4139127
"Faisal , King Faisal","Faisal , King Faisal",,
Naguib mahfouz,Naguib mahfouz,31.9047407,35.1894873
"El-Mansoura , el gomhoria street","El-Mansoura , el gomhoria street",,
Shoubra El-Kheima,Shoubra El-Kheima,30.0800186,31.245269
Menouf,Menouf,30.4626909,30.9388785
"El-Sheikh Zayed , twin tower -","El-Sheikh Zayed , twin tower -",,
"El-Obour City , 9th district","El-Obour City , 9th district",,
06-Oct,06-Oct,22.5369227,113.9779003
micheel bakhoum,micheel bakhoum,,
"Miamy , gamal abdelnasser","Miamy , gamal abdelnasser",,
El-Dokki,El-Dokki,30.0388955,31.2125563
"Aga , elgalaa street","Aga , elgalaa street",,
"Banha , El Ashraf Street","Banha , El Ashraf Street",,
"Moharam Bek , moharm bek st","Moharam Bek , moharm bek st",,
"West El-Balad , kasr el neil st","West El-Balad , kasr el neil st",,
"6th of October , in front of wadi degla club","6th of October , in front of wadi degla club",,
Faisal,Faisal,30.0978834,32.4856496
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
"El-Haram , Station Mashaal","El-Haram , Station Mashaal",,
"El-Mokattam , Middle Hadaba","El-Mokattam , Middle Hadaba",,
"El-Mansoura ,  hamza ebn abdelmotleb street","El-Mansoura ,  hamza ebn abdelmotleb street",,
"El-Mansoura , abdo maarof street","El-Mansoura , abdo maarof street",,
"Hurghada City , Mohamed Said St. (Metro), El Kawther","Hurghada City , Mohamed Said St. (Metro), El Kawther",,
"El-Dokki , Mosdak Street","El-Dokki , Mosdak Street",,
"El-Sheikh Zayed , twin tower -","El-Sheikh Zayed , twin tower -",,
"El-Rehab , Medical Complex 1","El-Rehab , Medical Complex 1",,
"Sporting , Ahmed Allam st from elHorya Road","Sporting , Ahmed Allam st from elHorya Road",,
Fifth Settlement Medical Center,Fifth Settlement Medical Center,,
"El-Mansoura , Marinet Mubarak Madina Monawara st.","El-Mansoura , Marinet Mubarak Madina Monawara st.",,
"6th of October , in front of wadi degla club","6th of October , in front of wadi degla club",,
Faisal,Faisal,30.0978834,32.4856496
"Mahalla , Talaat Harb street","Mahalla , Talaat Harb street",,
Faisal street,Faisal street,31.5587847,74.289134
Mahalla,Mahalla,40.0155864,64.7677952
"El-Agamy , Goweida moftah street","El-Agamy , Goweida moftah street",,
El-Dokki,El-Dokki,30.0388955,31.2125563
"Aga , elgalaa street","Aga , elgalaa street",,
"Heliopolis , Elmontazah St from ElHegaz St","Heliopolis , Elmontazah St from ElHegaz St",,
Maadi Ring Road,Maadi Ring Road,29.9934593,31.3850161
"Hadayek El-Ahram , z","Hadayek El-Ahram , z",,
El-Dokki,El-Dokki,30.0388955,31.2125563
"El-Giza , Hamadan","El-Giza , Hamadan",,
"6th of October , al mehwar al markzi","6th of October , al mehwar al markzi",,
Nasr City,Nasr City,30.0521177,31.3422045
06-Oct,06-Oct,22.5369227,113.9779003
Heliopolis,Heliopolis,-10.6753416,-38.2815308
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
Helwan,Helwan,29.8500001,31.333333
Faisal street,Faisal street,31.5587847,74.289134
"Mahalla , Talaat Harb street","Mahalla , Talaat Harb street",,
Mahalla,Mahalla,40.0155864,64.7677952
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
"El-Zagazig , tolba eweda street infront of salah salem hospital above lcwikiki","El-Zagazig , tolba eweda street infront of salah salem hospital above lcwikiki",,
Alharam street,Alharam street,15.2855885,44.2258985
El-Dokki,El-Dokki,30.0388955,31.2125563
Heliopolis,Heliopolis,-10.6753416,-38.2815308
"Heliopolis , -behind Miliatry College","Heliopolis , -behind Miliatry College",,
"Aga , elgalaa street","Aga , elgalaa street",,
"Heliopolis , Elmontazah St from ElHegaz St","Heliopolis , Elmontazah St from ElHegaz St",,
Maadi Ring Road,Maadi Ring Road,29.9934593,31.3850161
"Hadayek El-Ahram , z","Hadayek El-Ahram , z",,
El-Dokki,El-Dokki,30.0388955,31.2125563
"El-Giza , Hamadan","El-Giza , Hamadan",,
"6th of October , al mehwar al markzi","6th of October , al mehwar al markzi",,
Heliopolis,Heliopolis,-10.6753416,-38.2815308
"El-Dokki , Musadak Street-Infront Of Dunkin Donuts","El-Dokki , Musadak Street-Infront Of Dunkin Donuts",,
"Nasr City , Mostafa elnhas St","Nasr City , Mostafa elnhas St",,
"El-Maadi , 9th St.","El-Maadi , 9th St.",,
Nasr City,Nasr City,30.0521177,31.3422045
06-Oct,06-Oct,22.5369227,113.9779003
"El-Mokattam , 9 street","El-Mokattam , 9 street",,
"El-Mohandessin , Alfawakh St","El-Mohandessin , Alfawakh St",,
6th of October,6th of October,29.9723458,30.9409205
"Tanta , El-Geish st.  with Al- Galaa st.- Al-Awkaf  tower","Tanta , El-Geish st.  with Al- Galaa st.- Al-Awkaf  tower",,
"Hadayek El-Ahram , first entrance of first gate","Hadayek El-Ahram , first entrance of first gate",,
"Hadayek El-Ahram , El Geish street","Hadayek El-Ahram , El Geish street",,
"El-Maadi , Al Nasr St. - Gazaer Square","El-Maadi , Al Nasr St. - Gazaer Square",,
El-Mokattam,El-Mokattam,30.0221089,31.2683682
"El-Mokattam , Behinde pharmacy college MTI, AlHdba AlWosta","El-Mokattam , Behinde pharmacy college MTI, AlHdba AlWosta",,
El-Rehab,El-Rehab,30.063584,31.4889939
"El-Mokattam , 9 street","El-Mokattam , 9 street",,
"Heliopolis , botrous ghaly street","Heliopolis , botrous ghaly street",,
Hadayek El-Ahram,Hadayek El-Ahram,29.9699896,31.0973269
Hadayek El-Ahram,Hadayek El-Ahram,29.9699896,31.0973269
"6th of October , Borie Plaza 1-Elhossary Square","6th of October , Borie Plaza 1-Elhossary Square",,
"Imbaba , Elwahda street","Imbaba , Elwahda street",,
Fifth Settlement Medical Center,Fifth Settlement Medical Center,,
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
"El-Mohandessin , Alfawakh St","El-Mohandessin , Alfawakh St",,
"Hadayek El-Ahram , El Geish street","Hadayek El-Ahram , El Geish street",,
"El-Haram , Haram","El-Haram , Haram",,
"El-Zaitoun , Selim Elawal Street-Egypt Air Towers-Above Eltayaran Supermarket","El-Zaitoun , Selim Elawal Street-Egypt Air Towers-Above Eltayaran Supermarket",,
"Nasr City , ahmad elzumor","Nasr City , ahmad elzumor",,
El-Mokattam,El-Mokattam,30.0221089,31.2683682
El-Mohandessin,El-Mohandessin,30.0583951,31.2020231
151 Street - Horreya Square,151 Street - Horreya Square,,
"Hadayek El-Ahram , first entrance of first gate","Hadayek El-Ahram , first entrance of first gate",,
"Shibin El-Kom , hakma square","Shibin El-Kom , hakma square",,
"Tanta , El-Geish st.  with Al- Galaa st.- Al-Awkaf  tower","Tanta , El-Geish st.  with Al- Galaa st.- Al-Awkaf  tower",,
north Teseen ST,north Teseen ST,,
06-Oct,06-Oct,22.5369227,113.9779003
El-Maadi,El-Maadi,36.6117091,4.6680878
"El-Zagazig , obour bridge next to sawaf restaurant","El-Zagazig , obour bridge next to sawaf restaurant",,
El-Obour City,El-Obour City,30.1914,31.450548
El-Rehab,El-Rehab,30.063584,31.4889939
"6th of October , Central Axis","6th of October , Central Axis",,
Imbaba,Imbaba,14.5618548,0.8720522
El-Maadi,El-Maadi,36.6117091,4.6680878
Shibin El-Kom,Shibin El-Kom,30.5545106,31.0097923
"Banha , 5 ibn Hagag street","Banha , 5 ibn Hagag street",,
"El-Mansoura , 6 october street branched from ahmed maher street","El-Mansoura , 6 october street branched from ahmed maher street",,
Nasr City,Nasr City,30.0521177,31.3422045
"Nasr City , AbdElhamid awad","Nasr City , AbdElhamid awad",,
"El-Maadi , Elnasr Street","El-Maadi , Elnasr Street",,
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
"West El-Balad , el tahreer street","West El-Balad , el tahreer street",,
El-Badrashin,El-Badrashin,29.8531211,31.2780759
"Faisal , Elatabaa Building Fasil Elnadii St","Faisal , Elatabaa Building Fasil Elnadii St",,
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Zagazig,El-Zagazig,30.5950402,31.5125611
"El-Mansoura , el mahta square","El-Mansoura , el mahta square",,
"Faisal , khaled ibn waleed st","Faisal , khaled ibn waleed st",,
El-Rehab,El-Rehab,30.063584,31.4889939
"El-Zagazig , obour bridge next to sawaf restaurant","El-Zagazig , obour bridge next to sawaf restaurant",,
"Nasr City , mostafa elnahas","Nasr City , mostafa elnahas",,
"6th of October , Central Axis","6th of October , Central Axis",,
Imbaba,Imbaba,14.5618548,0.8720522
El-Maadi,El-Maadi,36.6117091,4.6680878
Shibin El-Kom,Shibin El-Kom,30.5545106,31.0097923
"El-Mansoura , 6 october street branched from ahmed maher street","El-Mansoura , 6 october street branched from ahmed maher street",,
Nasr City,Nasr City,30.0521177,31.3422045
"Banha , 5 ibn Hagag street","Banha , 5 ibn Hagag street",,
6th of October,6th of October,29.9723458,30.9409205
"Heliopolis , Al Hegaz - Heliopolis Square.","Heliopolis , Al Hegaz - Heliopolis Square.",,
"El-Manyal , manyal street","El-Manyal , manyal street",,
Nasr City,Nasr City,30.0521177,31.3422045
north teseen street,north teseen street,,
"El-Maadi , Sakr Quraysh, Al Bahs Al Genaea","El-Maadi , Sakr Quraysh, Al Bahs Al Genaea",,
Heliopolis,Heliopolis,-10.6753416,-38.2815308
"El-Giza , mourad","El-Giza , mourad",,
6th of October,6th of October,29.9723458,30.9409205
6th of October,6th of October,29.9723458,30.9409205
Janaklees,Janaklees,,
"El-Manyal , Almanial main Street","El-Manyal , Almanial main Street",,
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
"El-Mansoura , el mahta square","El-Mansoura , el mahta square",,
"El-Fayoum city , elmsla next to misr for insurance building next to city tower","El-Fayoum city , elmsla next to misr for insurance building next to city tower",,
"Shibin El-Kom , sharaf square dewan tower","Shibin El-Kom , sharaf square dewan tower",,
El-Shorouk,El-Shorouk,26.1216587,34.2553483
"Banha , behind mohafza","Banha , behind mohafza",,
Shibin El-Kom,Shibin El-Kom,30.5545106,31.0097923
6th of October,6th of October,29.9723458,30.9409205
"El-Zagazig , tolba eweda street","El-Zagazig , tolba eweda street",,
"El-Sayeda Zainab , Port Saeed Street","El-Sayeda Zainab , Port Saeed Street",,
"West El-Balad , Mohamed farid - Abdein","West El-Balad , Mohamed farid - Abdein",,
"El-Maadi , Sakr Quraysh, Al Bahs Al Genaea","El-Maadi , Sakr Quraysh, Al Bahs Al Genaea",,
Janaklees,Janaklees,,
"El-Manyal , Almanial main Street","El-Manyal , Almanial main Street",,
"El-Mansoura , kanat el swiss st","El-Mansoura , kanat el swiss st",,
Faisal,Faisal,30.0978834,32.4856496
"Heliopolis , hegaz street","Heliopolis , hegaz street",,
"10th of Ramadan , Ordinia St.","10th of Ramadan , Ordinia St.",,
6th of October,6th of October,29.9723458,30.9409205
Maadi Ring Road,Maadi Ring Road,29.9934593,31.3850161
El-Maadi,El-Maadi,36.6117091,4.6680878
"Nasr City , Mohamed Radwan ST _ Al Hay Al Asher","Nasr City , Mohamed Radwan ST _ Al Hay Al Asher",,
Heliopolis,Heliopolis,-10.6753416,-38.2815308
Shibin El-Kom,Shibin El-Kom,30.5545106,31.0097923
north teseen street,north teseen street,,
Nasr City,Nasr City,30.0521177,31.3422045
"El-Giza , mourad","El-Giza , mourad",,
6th of October,6th of October,29.9723458,30.9409205
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
