clinic_location,general_location,final_latitude,final_longitude
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
"New Cairo , abdallah ibn salama","New Cairo , abdallah ibn salama",,
Miamy,Miamy,-23.4461564,-51.8861956
"El-Maadi ,  ElNasr","El-Maadi ,  ElNasr",,
"El-Sheikh Zayed , Twin Towers-Elmehwar Elmarkazi","El-Sheikh Zayed , Twin Towers-Elmehwar Elmarkazi",,
"El-Maadi , 4 street 100 from street 105 - Horria sq Maadi","El-Maadi , 4 street 100 from street 105 - Horria sq Maadi",,
"Faisal , king Faisal St -tamimi","Faisal , king Faisal St -tamimi",,
"Bakos , Moastafa kamel","Bakos , Moastafa kamel",,
El-Haram,El-Haram,29.9942663,31.1604591
6th of October,6th of October,29.9723458,30.9409205
"Heliopolis , Triumph square (Nakhla moteey)","Heliopolis , Triumph square (Nakhla moteey)",,
"El-Matareya , Beet El Ezz 2 building - Matareya square - Building A - Third floor","El-Matareya , Beet El Ezz 2 building - Matareya square - Building A - Third floor",,
"Heliopolis , Esmail Ramzy Street","Heliopolis , Esmail Ramzy Street",,
"El-Manyal , Manial","El-Manyal , Manial",,
"El-Zaitoun , salim el-Awal st.","El-Zaitoun , salim el-Awal st.",,
"Faisal , king faisal street","Faisal , king faisal street",,
"El-Mohandessin , Omar Toson","El-Mohandessin , Omar Toson",,
"El-Obour City , Al Obour center","El-Obour City , Al Obour center",,
Faisal,Faisal,30.0978834,32.4856496
"Faisal , king faisal","Faisal , king faisal",,
"El-Maadi , ElNasr","El-Maadi , ElNasr",,
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
"Faisal , fisal street","Faisal , fisal street",,
"El-Maadi , street 287","El-Maadi , street 287",,
El-Mansoura,El-Mansoura,36.786091,9.9000163
"Nasr City ,  Mohamed Almakreif","Nasr City ,  Mohamed Almakreif",,
"Madinaty , Medical Center","Madinaty , Medical Center",,
"Hadayek El-Kobba , Abdelgleel street from Ibn Sender","Hadayek El-Kobba , Abdelgleel street from Ibn Sender",,
"El-Haram , Haram Street Nasr eldin Station","El-Haram , Haram Street Nasr eldin Station",,
"Victoria , Gamal Abdelnaser","Victoria , Gamal Abdelnaser",,
"El-Haram , 93 el haram street - beside city mall","El-Haram , 93 el haram street - beside city mall",,
"6th of October , Central Axis","6th of October , Central Axis",,
"El-Haram , madkour","El-Haram , madkour",,
"El-Sheikh Zayed , Beverly Hills-gate 9","El-Sheikh Zayed , Beverly Hills-gate 9",,
"Mahalla , El-shon","Mahalla , El-shon",,
"El-Haram ,  Salam","El-Haram ,  Salam",,
"Assiut city , Yusri Ragheb St.","Assiut city , Yusri Ragheb St.",,
"Nasr City , makram ebeid","Nasr City , makram ebeid",,
"Banha , el safaa","Banha , el safaa",,
"El-Maadi , Al Nasr Street","El-Maadi , Al Nasr Street",,
"El-Dokki , El Tahrir st.","El-Dokki , El Tahrir st.",,
"Nasr City , abo dawood zahry","Nasr City , abo dawood zahry",,
"New Cairo , 90 Street","New Cairo , 90 Street",,
"El-Mansoura , Al seka algdeda","El-Mansoura , Al seka algdeda",,
"Imbaba , Main wehda street","Imbaba , Main wehda street",,
El-Sheikh Zayed,El-Sheikh Zayed,30.048347,30.9832235
"Ain Shams , 70 Khaled Ebn El Waleed st., From Mostafa Hafez st., Beside Zaher, Guesr El Suez st., In front of El Shams club","Ain Shams , 70 Khaled Ebn El Waleed st., From Mostafa Hafez st., Beside Zaher, Guesr El Suez st., In front of El Shams club",,
"Faisal , hassan mohamed station-Feisal","Faisal , hassan mohamed station-Feisal",,
"Shibin El-Kom , Abo Bakr Elsedeek","Shibin El-Kom , Abo Bakr Elsedeek",,
"Hadayek El-Ahram , 2nd gate khafra","Hadayek El-Ahram , 2nd gate khafra",,
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
"El-Manyal , Saeed Tho Al fakar Street - branched from El basha square","El-Manyal , Saeed Tho Al fakar Street - branched from El basha square",,
"6th of October , El Mehwar El Markazy","6th of October , El Mehwar El Markazy",,
"Heliopolis ,  Bridge","Heliopolis ,  Bridge",,
"El-Rehab , Rehab , medical centre 2 , clinic 109","El-Rehab , Rehab , medical centre 2 , clinic 109",,
"El-Sheikh Zayed , Twin Towers","El-Sheikh Zayed , Twin Towers",,
"Nasr City ,  ahmed el zomor","Nasr City ,  ahmed el zomor",,
"El-Agamy , Kilometer 21 square,","El-Agamy , Kilometer 21 square,",,
"Nasr City , Mostafa nhas St","Nasr City , Mostafa nhas St",,
"El-Mokattam , 9 S.t","El-Mokattam , 9 S.t",,
"Sporting , Port Saeid St.,","Sporting , Port Saeid St.,",,
El-Haram,El-Haram,29.9942663,31.1604591
"6th of October , omrania tanua","6th of October , omrania tanua",,
"West El-Balad ,  Mohamed farid","West El-Balad ,  Mohamed farid",,
"El-Agamy , Alrxandria- matrouh road","El-Agamy , Alrxandria- matrouh road",,
Nasr City,Nasr City,30.0521177,31.3422045
"Heliopolis , bagdad st.","Heliopolis , bagdad st.",,
"Nasr City , mostafa el nahhas street","Nasr City , mostafa el nahhas street",,
"El-Zagazig , vilal gamaa street next to madina mosque","El-Zagazig , vilal gamaa street next to madina mosque",,
"El-Mohandessin ,  shehab street","El-Mohandessin ,  shehab street",,
"El-Maadi ,  El Horya Square","El-Maadi ,  El Horya Square",,
"El-Sheikh Zayed , Twin Towers-Elmehwar Elmarkazi","El-Sheikh Zayed , Twin Towers-Elmehwar Elmarkazi",,
"El-Manyal , El Manyal","El-Manyal , El Manyal",,
"El-Obour City , Al Obour center","El-Obour City , Al Obour center",,
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
"Heliopolis ,  Bridge","Heliopolis ,  Bridge",,
"Faisal ,  Faisal","Faisal ,  Faisal",,
"Nasr City ,  ahmed el zomor","Nasr City ,  ahmed el zomor",,
"El-Agamy , Kilometer 21 square,","El-Agamy , Kilometer 21 square,",,
"El-Mokattam , 9 S.t","El-Mokattam , 9 S.t",,
"West El-Balad ,  Mohamed farid","West El-Balad ,  Mohamed farid",,
"El-Obour City , Alsadat St.","El-Obour City , Alsadat St.",,
"El-Mansoura , Hussein bek street in front of family regulation office","El-Mansoura , Hussein bek street in front of family regulation office",,
Miamy,Miamy,-23.4461564,-51.8861956
Faisal,Faisal,30.0978834,32.4856496
"New Cairo , abdallah ibn salama","New Cairo , abdallah ibn salama",,
"El-Rehab , el sadat axis-The corner mall","El-Rehab , el sadat axis-The corner mall",,
"New Cairo , 3rd block","New Cairo , 3rd block",,
trablous,trablous,,
"6th of October , 4th District - 3rd Neighborhood","6th of October , 4th District - 3rd Neighborhood",,
6th of October,6th of October,29.9723458,30.9409205
"Shoubra El-Kheima , ElSharea ElGded","Shoubra El-Kheima , ElSharea ElGded",,
New Cairo,New Cairo,30.0277688,31.4756825
"Shoubra El-Kheima , 15 may street across the new street","Shoubra El-Kheima , 15 may street across the new street",,
"El-Matareya , El horeya street","El-Matareya , El horeya street",,
"Nasr City , Gafar Elsadek st branched from eltayaran","Nasr City , Gafar Elsadek st branched from eltayaran",,
"El-Maadi , 77 St.","El-Maadi , 77 St.",,
Heliopolis,Heliopolis,-10.6753416,-38.2815308
"Faisal , king  Faisal taawon","Faisal , king  Faisal taawon",,
Faisal,Faisal,30.0978834,32.4856496
"Shoubra , 15 may street","Shoubra , 15 may street",,
"El-Mansheyah , Hamam El Warsha","El-Mansheyah , Hamam El Warsha",,
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
"Faisal , Faisal","Faisal , Faisal",,
Ain Shams,Ain Shams,30.1304761,31.3167491
"El-Haram ,  Abo emera street","El-Haram ,  Abo emera street",,
"El-Maadi , 153","El-Maadi , 153",,
"El-Maadi , 9","El-Maadi , 9",,
"El-Obour City , Alsadat St.","El-Obour City , Alsadat St.",,
"El-Mansoura , Hussein bek street in front of family regulation office","El-Mansoura , Hussein bek street in front of family regulation office",,
"Shoubra El-Kheima , 15 mayo"" ElshareEl gedidi ""","Shoubra El-Kheima , 15 mayo"" ElshareEl gedidi """,,
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
Miamy,Miamy,-23.4461564,-51.8861956
"El-Rehab , el sadat axis-The corner mall","El-Rehab , el sadat axis-The corner mall",,
"New Cairo , 3rd block","New Cairo , 3rd block",,
El-Haram,El-Haram,29.9942663,31.1604591
"El-Maadi ,  ElNasr","El-Maadi ,  ElNasr",,
"Faisal , Faisal street","Faisal , Faisal street",,
"El-Rehab , Rehab , medical centre 2 , clinic 109","El-Rehab , Rehab , medical centre 2 , clinic 109",,
"Heliopolis , bagdad st.","Heliopolis , bagdad st.",,
"Sporting , Port Saeid St.,","Sporting , Port Saeid St.,",,
"6th of October , El Mehwar El Markazy","6th of October , El Mehwar El Markazy",,
"El-Sheikh Zayed , Twin Towers","El-Sheikh Zayed , Twin Towers",,
El-Mohandessin,El-Mohandessin,30.0583951,31.2020231
Heliopolis,Heliopolis,-10.6753416,-38.2815308
"Heliopolis ,  Bridge","Heliopolis ,  Bridge",,
"Hadayek El-Kobba , Masr El-Soadan","Hadayek El-Kobba , Masr El-Soadan",,
"El-Maadi , algazerr","El-Maadi , algazerr",,
New Cairo,New Cairo,30.0277688,31.4756825
"Faisal , king  Faisal taawon","Faisal , king  Faisal taawon",,
"Faisal ,  Faisal","Faisal ,  Faisal",,
"Nasr City , mostafa el nahhas street","Nasr City , mostafa el nahhas street",,
"Nasr City ,  ahmed el zomor","Nasr City ,  ahmed el zomor",,
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
Faisal,Faisal,30.0978834,32.4856496
"El-Abbasia , Abdou Pacha Sq.","El-Abbasia , Abdou Pacha Sq.",,
"6th of October , the central axis","6th of October , the central axis",,
"El-Maadi , 153","El-Maadi , 153",,
"El-Mandara , Mohamed Hassanin Hiekel","El-Mandara , Mohamed Hassanin Hiekel",,
"Faisal , Faisal","Faisal , Faisal",,
"Sidy Gaber , Elhoreia","Sidy Gaber , Elhoreia",,
"El-Sheikh Zayed , Medical Hub Center-Khameal City-Gate 2-Infront of Hyperone","El-Sheikh Zayed , Medical Hub Center-Khameal City-Gate 2-Infront of Hyperone",,
Ain Shams,Ain Shams,30.1304761,31.3167491
"El-Marg , Ahmed sediq","El-Marg , Ahmed sediq",,
"Sidy Gaber , Portsaif","Sidy Gaber , Portsaif",,
"El-Haram , Terat Al Zomir Street","El-Haram , Terat Al Zomir Street",,
El-Maadi,El-Maadi,36.6117091,4.6680878
Ain Shams,Ain Shams,30.1304761,31.3167491
"6th of October , elmahwar el markazi","6th of October , elmahwar el markazi",,
"El-Haram ,  Abo emera street","El-Haram ,  Abo emera street",,
"El-Haram , Al Haram street -","El-Haram , Al Haram street -",,
"El-Rehab , Medical center 2 ,  El Rehab City","El-Rehab , Medical center 2 ,  El Rehab City",,
"El-Giza , el gamaa Street","El-Giza , el gamaa Street",,
"El-Haram , El haram St.","El-Haram , El haram St.",,
"El-Haram , Naser althora","El-Haram , Naser althora",,
"El-Rehab , medical park elite next to city square","El-Rehab , medical park elite next to city square",,
El-Maadi,El-Maadi,36.6117091,4.6680878
"6th of October , 71 fadan","6th of October , 71 fadan",,
"El-Rehab , Rehab , medical centre 2 , clinic 109","El-Rehab , Rehab , medical centre 2 , clinic 109",,
"Heliopolis , bagdad st.","Heliopolis , bagdad st.",,
"Heliopolis , El Merghany","Heliopolis , El Merghany",,
"El-Sheikh Zayed , Twin Towers","El-Sheikh Zayed , Twin Towers",,
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
"Heliopolis , abu bakr el sedeek saffir sqaure","Heliopolis , abu bakr el sedeek saffir sqaure",,
"El-Ibrahimia , abokeir road","El-Ibrahimia , abokeir road",,
Faisal,Faisal,30.0978834,32.4856496
Heliopolis,Heliopolis,-10.6753416,-38.2815308
"8th district, Above Ragab's Sons s market - mall five stars 2 new floor","8th district, Above Ragab's Sons s market - mall five stars 2 new floor",,
"Nasr City , ahmed elzomr","Nasr City , ahmed elzomr",,
"Nasr City , Abu Dawood Al-Zahery","Nasr City , Abu Dawood Al-Zahery",,
"Ain Shams , Seha street","Ain Shams , Seha street",,
Beverly Hills,Beverly Hills,34.0696501,-118.3963062
El-Mansoura,El-Mansoura,36.786091,9.9000163
"Hadayek El-Ahram , zen","Hadayek El-Ahram , zen",,
"New Cairo , North","New Cairo , North",,
"El-Haram , Al Haram street","El-Haram , Al Haram street",,
"El-Agamy , -salah el awdy st.","El-Agamy , -salah el awdy st.",,
"6th of October , nagda square","6th of October , nagda square",,
"El-Marg , Ahmed sediq","El-Marg , Ahmed sediq",,
Ain Shams,Ain Shams,30.1304761,31.3167491
El-Zagazig,El-Zagazig,30.5950402,31.5125611
"El-Maadi , 153","El-Maadi , 153",,
"6th of October , the central axis","6th of October , the central axis",,
"El-Mandara , Mohamed Hassanin Hiekel","El-Mandara , Mohamed Hassanin Hiekel",,
"Smouha , Victor Ammanuel St.","Smouha , Victor Ammanuel St.",,
"El-Maadi , 9","El-Maadi , 9",,
"El-Maadi , Horreya Square","El-Maadi , Horreya Square",,
"Sidy Gaber , Portsaif","Sidy Gaber , Portsaif",,
"El-Haram , Terat Al Zomir Street","El-Haram , Terat Al Zomir Street",,
El-Maadi,El-Maadi,36.6117091,4.6680878
Ain Shams,Ain Shams,30.1304761,31.3167491
"6th of October , elmahwar el markazi","6th of October , elmahwar el markazi",,
"Sidy Gaber , Elhoreia","Sidy Gaber , Elhoreia",,
"El-Sheikh Zayed , Medical Hub Center-Khameal City-Gate 2-Infront of Hyperone","El-Sheikh Zayed , Medical Hub Center-Khameal City-Gate 2-Infront of Hyperone",,
"El-Haram ,  Abo emera street","El-Haram ,  Abo emera street",,
"El-Haram , Al Haram street -","El-Haram , Al Haram street -",,
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
"Nasr City , Afracia street-extention of mostafa elnahas street-9 th zone-after PIZZA HUT restaurant","Nasr City , Afracia street-extention of mostafa elnahas street-9 th zone-after PIZZA HUT restaurant",,
"8th district, Above Ragab's Sons s market - mall five stars 2 new floor","8th district, Above Ragab's Sons s market - mall five stars 2 new floor",,
"Nasr City , Abu Dawood Al-Zahery","Nasr City , Abu Dawood Al-Zahery",,
"New Cairo , North","New Cairo , North",,
"El-Mansoura , Hussein bek street in front of family regulation office","El-Mansoura , Hussein bek street in front of family regulation office",,
"6th of October , nagda square","6th of October , nagda square",,
"El Minya City , Elgomhorya street","El Minya City , Elgomhorya street",,
"El-Sheikh Zayed , Twin Towers, 26 July Corridor","El-Sheikh Zayed , Twin Towers, 26 July Corridor",,
"Assiut city , Al Helaly","Assiut city , Al Helaly",,
"El-Haram , Al Haram street","El-Haram , Al Haram street",,
"10 Mohamed Awad st, branched from Makram Ebeid","10 Mohamed Awad st, branched from Makram Ebeid",,
"El-Mansoura , gehan st","El-Mansoura , gehan st",,
"El-Mokattam , central Street, from 9 street","El-Mokattam , central Street, from 9 street",,
"New Cairo , Next to Al baraka Mall","New Cairo , Next to Al baraka Mall",,
"El-Ibrahimia , portsaid","El-Ibrahimia , portsaid",,
"Helwan , mohamed sayed ahmed street with rayel street","Helwan , mohamed sayed ahmed street with rayel street",,
Ain Shams,Ain Shams,30.1304761,31.3167491
"El-Ibrahimia , port Said","El-Ibrahimia , port Said",,
"El-Abbasia , sergany st-abdo basha","El-Abbasia , sergany st-abdo basha",,
"El-Mohandessin , El Kawser street","El-Mohandessin , El Kawser street",,
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
"El-Sheikh Zayed , -Badr Eldeen Mall","El-Sheikh Zayed , -Badr Eldeen Mall",,
"El-Zaitoun , selem el awl","El-Zaitoun , selem el awl",,
"Shoubra ,  Al Taraa Al Bolaqiea","Shoubra ,  Al Taraa Al Bolaqiea",,
"Heliopolis , gesr suez","Heliopolis , gesr suez",,
"Tanta , Saad Zaghlool square-loaloa Tanta Tower-Above eltwheed w elnoor","Tanta , Saad Zaghlool square-loaloa Tanta Tower-Above eltwheed w elnoor",,
"6th of October , Prima-vista medical center","6th of October , Prima-vista medical center",,
"El-Dokki , El Tahrir St.","El-Dokki , El Tahrir St.",,
"Heliopolis , Aboubakr Elsedik street-Safeer Square-Above ezz Eldeen pharmacy","Heliopolis , Aboubakr Elsedik street-Safeer Square-Above ezz Eldeen pharmacy",,
"El-Haram , El talateny elgded of ezz el din omar","El-Haram , El talateny elgded of ezz el din omar",,
"El-Mokattam ,  Al Eman Mosque","El-Mokattam ,  Al Eman Mosque",,
"Sidy Bishr , Gamal abelnasser st.","Sidy Bishr , Gamal abelnasser st.",,
"El-Sheikh Zayed , Twin Towers-Damas Dental Center","El-Sheikh Zayed , Twin Towers-Damas Dental Center",,
"Assiut city , Youssry Ragheb St.","Assiut city , Youssry Ragheb St.",,
El Minya City,El Minya City,28.0893325,30.7570623
"Hadayek El-Ahram , Ahmed Bedeer","Hadayek El-Ahram , Ahmed Bedeer",,
"Helwan , riad","Helwan , riad",,
"Helwan , mouhamed sayed ahmed street/rayel stret","Helwan , mouhamed sayed ahmed street/rayel stret",,
"Faisal , el arabeen elmaskeen","Faisal , el arabeen elmaskeen",,
"El-Maadi , street 108","El-Maadi , street 108",,
"West El-Balad , Adly","West El-Balad , Adly",,
"Heliopolis , abu bakr el sedeek saffir sqaure","Heliopolis , abu bakr el sedeek saffir sqaure",,
"Hadayek El-Ahram , zen","Hadayek El-Ahram , zen",,
"El-Ibrahimia , abokeir road","El-Ibrahimia , abokeir road",,
"Heliopolis , El Khalifa El Mamoun street","Heliopolis , El Khalifa El Mamoun street",,
Faisal,Faisal,30.0978834,32.4856496
Heliopolis,Heliopolis,-10.6753416,-38.2815308
Ain Shams,Ain Shams,30.1304761,31.3167491
Beverly Hills,Beverly Hills,34.0696501,-118.3963062
"Helwan , mohamed sayed ahmed street with rayel street","Helwan , mohamed sayed ahmed street with rayel street",,
"El-Abbasia , sergany st-abdo basha","El-Abbasia , sergany st-abdo basha",,
El-Mansoura,El-Mansoura,36.786091,9.9000163
El-Ibrahimia,El-Ibrahimia,28.4243751,30.7932891
6th of October,6th of October,29.9723458,30.9409205
El-Haram,El-Haram,29.9942663,31.1604591
Nasr City,Nasr City,30.0521177,31.3422045
"El-Manyal , Manial Museum Street","El-Manyal , Manial Museum Street",,
"El-Haram , Ezz El-Deen Omar Arish station Behind misr Bank","El-Haram , Ezz El-Deen Omar Arish station Behind misr Bank",,
"El-Sheikh Zayed , Beverly Hills-gate 9","El-Sheikh Zayed , Beverly Hills-gate 9",,
"Nasr City , Makram Abeid","Nasr City , Makram Abeid",,
"El-Shorouk , grand mall third east expansions","El-Shorouk , grand mall third east expansions",,
El-Mansoura,El-Mansoura,36.786091,9.9000163
"El-Shorouk , main road (Gate 1 ismallia road)","El-Shorouk , main road (Gate 1 ismallia road)",,
"El-Maadi , EL Laselky street-beside Moamen square","El-Maadi , EL Laselky street-beside Moamen square",,
"Nasr City , abo dawood zahry","Nasr City , abo dawood zahry",,
"El-Dokki , El Tahrir st.","El-Dokki , El Tahrir st.",,
"Heliopolis , othman ibn affan- Ismailia square","Heliopolis , othman ibn affan- Ismailia square",,
"El-Sheikh Zayed , elshabab","El-Sheikh Zayed , elshabab",,
"Hadayek El-Kobba , Elgrash","Hadayek El-Kobba , Elgrash",,
"El-Mansoura , Al seka algdeda","El-Mansoura , Al seka algdeda",,
"Imbaba , Main wehda street","Imbaba , Main wehda street",,
El-Sheikh Zayed,El-Sheikh Zayed,30.048347,30.9832235
"Ain Shams , 70 Khaled Ebn El Waleed st., From Mostafa Hafez st., Beside Zaher, Guesr El Suez st., In front of El Shams club","Ain Shams , 70 Khaled Ebn El Waleed st., From Mostafa Hafez st., Beside Zaher, Guesr El Suez st., In front of El Shams club",,
"6th of October , 7th distric, 1st neigborhood","6th of October , 7th distric, 1st neigborhood",,
"Faisal , hassan mohamed station-Feisal","Faisal , hassan mohamed station-Feisal",,
"Faisal , King Faisal street","Faisal , King Faisal street",,
"Hadayek El-Ahram , District G First Gate","Hadayek El-Ahram , District G First Gate",,
"El-Rehab , Medical Center 3 clinic 209","El-Rehab , Medical Center 3 clinic 209",,
"El-Maadi , 233","El-Maadi , 233",,
"New Cairo , Mostafa kamel","New Cairo , Mostafa kamel",,
"Mahalla , Al Fareek Reda Hafez st.","Mahalla , Al Fareek Reda Hafez st.",,
"El-Haram , khatam Al Morsalen Street","El-Haram , khatam Al Morsalen Street",,
"Bakos , elhelal nady str","Bakos , elhelal nady str",,
"El-Dokki , El Tahrir street","El-Dokki , El Tahrir street",,
"New Cairo , medical park 1","New Cairo , medical park 1",,
"El-Sheikh Zayed , Downtown mall","El-Sheikh Zayed , Downtown mall",,
